RUBRO_KEY;SUB_RUBRO_AGRUPADO;RUBRO_AGRUPADO;Columna1;Columna2;Columna3;AGRUPADO_NUEVO;AGRUPACION IC
1999;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
2000;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
2001;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;OTROS;OTROS
2002;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;OTROS;OTROS
2003;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;GASTRONOMIA;GASTRONOMIA
2004;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;GASTRONOMIA;GASTRONOMIA
2005;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;SUPERMERCADOS;SUPERMERCADOS
2006;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
2007;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
2008;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;OTROS;OTROS
2009;FARMACIAS Y OPTICAS;VENTA_TELEFONICA;FARMACIAS Y OPTICAS;VENTA_TELEFONICA;1;OTROS;OTROS
2010;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;GASTRONOMIA;GASTRONOMIA
2011;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
2012;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;TURISMO;TURISMO
2013;SOLICITUD DIRECTA;PAGO_DE_SERVICIOS;SOLICITUD DIRECTA;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2014;SOLICITUD DIRECTA;PAGO_DE_SERVICIOS;SOLICITUD DIRECTA;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2015;SOLICITUD DIRECTA;PAGO_DE_SERVICIOS;SOLICITUD DIRECTA;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2016;SOLICITUD DIRECTA;PAGO_DE_SERVICIOS;SOLICITUD DIRECTA;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2017;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2018;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2019;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;TURISMO;TURISMO
2020;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;TURISMO;TURISMO
2021;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2022;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2023;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
